Nom_etablissement;Nom_installation;No_permis_installation;Nombre_de_civieres_fonctionnelles;Nombre_de_civieres_occupees;Nombre_de_patients_sur_civiere_plus_de_24_heures;Nombre_de_patients_sur_civiere_plus_de_48_heures;Heure_de_l'extraction_(image);Mise_a_jour;heure_meteo;temperature;climat;vent;humidex;humidite_relative
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;40;3;0;00:00:00;2021-12-28T0:28; 00:00 ;-11.3;Mostly Cloudy;NE 12;NA;82
CHU;Hpital Saint-Franois-d'Assise;51217602;34;26;5;2;00:00:00;2021-12-28T0:28; 00:00 ;-11.3;Mostly Cloudy;NE 12;NA;82
CHU;L'Htel-Dieu de Qubec;51217586;15;10;0;0;00:00:00;2021-12-28T0:28; 00:00 ;-11.3;Mostly Cloudy;NE 12;NA;82
CHU;Hpital de l'Enfant-Jsus;51233914;48;45;7;2;00:00:00;2021-12-28T0:28; 00:00 ;-11.3;Mostly Cloudy;NE 12;NA;82
CHU;Hpital du Saint-Sacrement;51217529;22;18;10;6;00:00:00;2021-12-28T0:28; 00:00 ;-11.3;Mostly Cloudy;NE 12;NA;82
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;19;0;0;00:00:00;2021-12-28T0:28; 00:00 ;-11.3;Mostly Cloudy;NE 12;NA;82
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;35;3;1;01:00:00;2021-12-28T1:28; 01:00 ;-9.8;Partly Cloudy;ENE 20;NA;83
CHU;Hpital Saint-Franois-d'Assise;51217602;34;29;5;2;01:00:00;2021-12-28T1:28; 01:00 ;-9.8;Partly Cloudy;ENE 20;NA;83
CHU;L'Htel-Dieu de Qubec;51217586;15;11;0;0;01:00:00;2021-12-28T1:28; 01:00 ;-9.8;Partly Cloudy;ENE 20;NA;83
CHU;Hpital de l'Enfant-Jsus;51233914;48;48;7;2;01:00:00;2021-12-28T1:28; 01:00 ;-9.8;Partly Cloudy;ENE 20;NA;83
CHU;Hpital du Saint-Sacrement;51217529;22;18;10;7;01:00:00;2021-12-28T1:28; 01:00 ;-9.8;Partly Cloudy;ENE 20;NA;83
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;21;0;0;01:00:00;2021-12-28T1:28; 01:00 ;-9.8;Partly Cloudy;ENE 20;NA;83
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;29;3;1;02:00:00;2021-12-28T2:28; 02:00 ;-8.9;Mostly Cloudy;ENE 18;NA;85
CHU;Hpital Saint-Franois-d'Assise;51217602;34;30;7;2;02:00:00;2021-12-28T2:28; 02:00 ;-8.9;Mostly Cloudy;ENE 18;NA;85
CHU;L'Htel-Dieu de Qubec;51217586;15;11;0;0;02:00:00;2021-12-28T2:28; 02:00 ;-8.9;Mostly Cloudy;ENE 18;NA;85
CHU;Hpital de l'Enfant-Jsus;51233914;48;47;8;2;02:00:00;2021-12-28T2:28; 02:00 ;-8.9;Mostly Cloudy;ENE 18;NA;85
CHU;Hpital du Saint-Sacrement;51217529;22;19;10;7;02:00:00;2021-12-28T2:28; 02:00 ;-8.9;Mostly Cloudy;ENE 18;NA;85
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;20;0;0;02:00:00;2021-12-28T2:28; 02:00 ;-8.9;Mostly Cloudy;ENE 18;NA;85
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;27;3;1;03:00:00;2021-12-28T3:28; 03:00 ;-8.0;Mostly Cloudy;ENE 22;NA;86
CHU;Hpital Saint-Franois-d'Assise;51217602;34;30;7;2;03:00:00;2021-12-28T3:28; 03:00 ;-8.0;Mostly Cloudy;ENE 22;NA;86
CHU;L'Htel-Dieu de Qubec;51217586;15;11;0;0;03:00:00;2021-12-28T3:28; 03:00 ;-8.0;Mostly Cloudy;ENE 22;NA;86
CHU;Hpital de l'Enfant-Jsus;51233914;48;49;8;2;03:00:00;2021-12-28T3:28; 03:00 ;-8.0;Mostly Cloudy;ENE 22;NA;86
CHU;Hpital du Saint-Sacrement;51217529;22;20;10;7;03:00:00;2021-12-28T3:28; 03:00 ;-8.0;Mostly Cloudy;ENE 22;NA;86
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;18;0;0;03:00:00;2021-12-28T3:28; 03:00 ;-8.0;Mostly Cloudy;ENE 22;NA;86
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;27;3;1;04:00:00;2021-12-28T4:28; 04:00 ;-7.8;Mostly Cloudy;ENE 17 gust 28;NA;88
CHU;Hpital Saint-Franois-d'Assise;51217602;34;30;7;2;04:00:00;2021-12-28T4:28; 04:00 ;-7.8;Mostly Cloudy;ENE 17 gust 28;NA;88
CHU;L'Htel-Dieu de Qubec;51217586;15;11;0;0;04:00:00;2021-12-28T4:28; 04:00 ;-7.8;Mostly Cloudy;ENE 17 gust 28;NA;88
CHU;Hpital de l'Enfant-Jsus;51233914;48;49;8;2;04:00:00;2021-12-28T4:28; 04:00 ;-7.8;Mostly Cloudy;ENE 17 gust 28;NA;88
CHU;Hpital du Saint-Sacrement;51217529;22;20;11;7;04:00:00;2021-12-28T4:28; 04:00 ;-7.8;Mostly Cloudy;ENE 17 gust 28;NA;88
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;19;0;0;04:00:00;2021-12-28T4:28; 04:00 ;-7.8;Mostly Cloudy;ENE 17 gust 28;NA;88
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;27;3;1;05:00:00;2021-12-28T5:28; 05:00 ;-7.3;Mostly Cloudy;ENE 18 gust 31;NA;88
CHU;Hpital Saint-Franois-d'Assise;51217602;34;32;7;2;05:00:00;2021-12-28T5:28; 05:00 ;-7.3;Mostly Cloudy;ENE 18 gust 31;NA;88
CHU;L'Htel-Dieu de Qubec;51217586;15;12;0;0;05:00:00;2021-12-28T5:28; 05:00 ;-7.3;Mostly Cloudy;ENE 18 gust 31;NA;88
CHU;Hpital de l'Enfant-Jsus;51233914;48;50;8;2;05:00:00;2021-12-28T5:28; 05:00 ;-7.3;Mostly Cloudy;ENE 18 gust 31;NA;88
CHU;Hpital du Saint-Sacrement;51217529;22;22;11;7;05:00:00;2021-12-28T5:28; 05:00 ;-7.3;Mostly Cloudy;ENE 18 gust 31;NA;88
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;19;0;0;05:00:00;2021-12-28T5:28; 05:00 ;-7.3;Mostly Cloudy;ENE 18 gust 31;NA;88
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;28;3;1;06:00:00;2021-12-28T6:28; 06:00 ;-6.8;Light Snow;ENE 29 gust 41;NA;84
CHU;Hpital Saint-Franois-d'Assise;51217602;34;31;7;2;06:00:00;2021-12-28T6:28; 06:00 ;-6.8;Light Snow;ENE 29 gust 41;NA;84
CHU;L'Htel-Dieu de Qubec;51217586;15;13;0;0;06:00:00;2021-12-28T6:28; 06:00 ;-6.8;Light Snow;ENE 29 gust 41;NA;84
CHU;Hpital de l'Enfant-Jsus;51233914;pas d'information disponible;pas d'information disponible;pas d'information disponible;pas d'information disponible;06:00:00;2021-12-28T6:28; 06:00 ;-6.8;Light Snow;ENE 29 gust 41;NA;84
CHU;Hpital du Saint-Sacrement;51217529;22;22;10;6;06:00:00;2021-12-28T6:28; 06:00 ;-6.8;Light Snow;ENE 29 gust 41;NA;84
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;19;0;0;06:00:00;2021-12-28T6:28; 06:00 ;-6.8;Light Snow;ENE 29 gust 41;NA;84
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;28;4;1;07:00:00;2021-12-28T7:28; 07:00 ;-6.7;Light Snow;ENE 23 gust 35;NA;85
CHU;Hpital Saint-Franois-d'Assise;51217602;34;32;7;2;07:00:00;2021-12-28T7:28; 07:00 ;-6.7;Light Snow;ENE 23 gust 35;NA;85
CHU;L'Htel-Dieu de Qubec;51217586;15;14;0;0;07:00:00;2021-12-28T7:28; 07:00 ;-6.7;Light Snow;ENE 23 gust 35;NA;85
CHU;Hpital de l'Enfant-Jsus;51233914;48;52;8;2;07:00:00;2021-12-28T7:28; 07:00 ;-6.7;Light Snow;ENE 23 gust 35;NA;85
CHU;Hpital du Saint-Sacrement;51217529;22;22;10;6;07:00:00;2021-12-28T7:28; 07:00 ;-6.7;Light Snow;ENE 23 gust 35;NA;85
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;19;0;0;07:00:00;2021-12-28T7:28; 07:00 ;-6.7;Light Snow;ENE 23 gust 35;NA;85
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;29;5;1;08:00:00;2021-12-28T8:28; 08:00 ;-6.6;Light Snow;ENE 22;NA;88
CHU;Hpital Saint-Franois-d'Assise;51217602;34;33;7;2;08:00:00;2021-12-28T8:28; 08:00 ;-6.6;Light Snow;ENE 22;NA;88
CHU;L'Htel-Dieu de Qubec;51217586;15;14;0;0;08:00:00;2021-12-28T8:28; 08:00 ;-6.6;Light Snow;ENE 22;NA;88
CHU;Hpital de l'Enfant-Jsus;51233914;48;54;8;2;08:00:00;2021-12-28T8:28; 08:00 ;-6.6;Light Snow;ENE 22;NA;88
CHU;Hpital du Saint-Sacrement;51217529;22;22;9;5;08:00:00;2021-12-28T8:28; 08:00 ;-6.6;Light Snow;ENE 22;NA;88
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;18;0;0;08:00:00;2021-12-28T8:28; 08:00 ;-6.6;Light Snow;ENE 22;NA;88
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;29;5;1;09:00:00;2021-12-28T9:28; 09:00 ;-6.7;Light Snow;ENE 18 gust 31;NA;91
CHU;Hpital Saint-Franois-d'Assise;51217602;34;32;6;1;09:00:00;2021-12-28T9:28; 09:00 ;-6.7;Light Snow;ENE 18 gust 31;NA;91
CHU;L'Htel-Dieu de Qubec;51217586;15;14;0;0;09:00:00;2021-12-28T9:28; 09:00 ;-6.7;Light Snow;ENE 18 gust 31;NA;91
