Nom_etablissement;Nom_installation;No_permis_installation;Nombre_de_civieres_fonctionnelles;Nombre_de_civieres_occupees;Nombre_de_patients_sur_civiere_plus_de_24_heures;Nombre_de_patients_sur_civiere_plus_de_48_heures;Heure_de_l'extraction_(image);Mise_a_jour;heure_meteo;temperature;climat;vent;humidex;humidite_relative
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;40;6;3;00:00:00;2021-11-30T0:28; 00:00 ;-8.0;Mostly Cloudy;NW 4;NA;74
CHU;Hpital Saint-Franois-d'Assise;51217602;34;35;10;3;00:00:00;2021-11-30T0:28; 00:00 ;-8.0;Mostly Cloudy;NW 4;NA;74
CHU;L'Htel-Dieu de Qubec;51217586;15;14;1;0;00:00:00;2021-11-30T0:28; 00:00 ;-8.0;Mostly Cloudy;NW 4;NA;74
CHU;Hpital de l'Enfant-Jsus;51233914;48;54;11;7;00:00:00;2021-11-30T0:28; 00:00 ;-8.0;Mostly Cloudy;NW 4;NA;74
CHU;Hpital du Saint-Sacrement;51217529;22;19;8;1;00:00:00;2021-11-30T0:28; 00:00 ;-8.0;Mostly Cloudy;NW 4;NA;74
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;23;1;0;00:00:00;2021-11-30T0:28; 00:00 ;-8.0;Mostly Cloudy;NW 4;NA;74
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;42;6;3;01:00:00;2021-11-30T1:28; 01:00 ;-6.7;Mostly Cloudy;calm;NA;67
CHU;Hpital Saint-Franois-d'Assise;51217602;34;36;10;3;01:00:00;2021-11-30T1:28; 01:00 ;-6.7;Mostly Cloudy;calm;NA;67
CHU;L'Htel-Dieu de Qubec;51217586;15;14;1;0;01:00:00;2021-11-30T1:28; 01:00 ;-6.7;Mostly Cloudy;calm;NA;67
CHU;Hpital de l'Enfant-Jsus;51233914;48;54;11;7;01:00:00;2021-11-30T1:28; 01:00 ;-6.7;Mostly Cloudy;calm;NA;67
CHU;Hpital du Saint-Sacrement;51217529;22;20;8;1;01:00:00;2021-11-30T1:28; 01:00 ;-6.7;Mostly Cloudy;calm;NA;67
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;24;1;0;01:00:00;2021-11-30T1:28; 01:00 ;-6.7;Mostly Cloudy;calm;NA;67
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;45;6;3;02:00:00;2021-11-30T2:28; 02:00 ;-6.8;Cloudy;SW 4;NA;67
CHU;Hpital Saint-Franois-d'Assise;51217602;34;36;11;4;02:00:00;2021-11-30T2:28; 02:00 ;-6.8;Cloudy;SW 4;NA;67
