Nom_etablissement;Nom_installation;No_permis_installation;Nombre_de_civieres_fonctionnelles;Nombre_de_civieres_occupees;Nombre_de_patients_sur_civiere_plus_de_24_heures;Nombre_de_patients_sur_civiere_plus_de_48_heures;Heure_de_l'extraction_(image);Mise_a_jour;heure_meteo;temperature;climat;vent;humidex;humidite_relative
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;34;7;0;00:00:00;2022-01-07T0:28; 00:00 ;-8.1;Light Snow;NNW 5;NA;87
CHU;Hpital Saint-Franois-d'Assise;51217602;34;27;5;1;00:00:00;2022-01-07T0:28; 00:00 ;-8.1;Light Snow;NNW 5;NA;87
CHU;L'Htel-Dieu de Qubec;51217586;15;13;0;0;00:00:00;2022-01-07T0:28; 00:00 ;-8.1;Light Snow;NNW 5;NA;87
CHU;Hpital de l'Enfant-Jsus;51233914;48;45;9;0;00:00:00;2022-01-07T0:28; 00:00 ;-8.1;Light Snow;NNW 5;NA;87
CHU;Hpital du Saint-Sacrement;51217529;22;12;0;0;00:00:00;2022-01-07T0:28; 00:00 ;-8.1;Light Snow;NNW 5;NA;87
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;14;0;0;00:00:00;2022-01-07T0:28; 00:00 ;-8.1;Light Snow;NNW 5;NA;87
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;34;7;0;01:00:00;2022-01-07T1:28; 01:00 ;-7.7;Light Snow;NNE 7;NA;86
CHU;Hpital Saint-Franois-d'Assise;51217602;34;29;5;1;01:00:00;2022-01-07T1:28; 01:00 ;-7.7;Light Snow;NNE 7;NA;86
CHU;L'Htel-Dieu de Qubec;51217586;15;16;0;0;01:00:00;2022-01-07T1:28; 01:00 ;-7.7;Light Snow;NNE 7;NA;86
CHU;Hpital de l'Enfant-Jsus;51233914;48;45;9;0;01:00:00;2022-01-07T1:28; 01:00 ;-7.7;Light Snow;NNE 7;NA;86
CHU;Hpital du Saint-Sacrement;51217529;22;14;1;0;01:00:00;2022-01-07T1:28; 01:00 ;-7.7;Light Snow;NNE 7;NA;86
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;16;0;0;01:00:00;2022-01-07T1:28; 01:00 ;-7.7;Light Snow;NNE 7;NA;86
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;34;7;0;02:00:00;2022-01-07T2:28; 02:00 ;-7.7;Light Snow;ENE 3;NA;88
CHU;Hpital Saint-Franois-d'Assise;51217602;34;30;5;1;02:00:00;2022-01-07T2:28; 02:00 ;-7.7;Light Snow;ENE 3;NA;88
