Nom_etablissement;Nom_installation;No_permis_installation;Nombre_de_civieres_fonctionnelles;Nombre_de_civieres_occupees;Nombre_de_patients_sur_civiere_plus_de_24_heures;Nombre_de_patients_sur_civiere_plus_de_48_heures;Heure_de_l'extraction_(image);Mise_a_jour;heure_meteo;temperature;climat;vent;humidex;humidite_relative
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;38;5;0;00:00:00;2021-10-19T0:28; 00:00 ;7.0;Mostly Cloudy;WSW 21;NA;78
CHU;Hpital Saint-Franois-d'Assise;51217602;34;34;7;0;00:00:00;2021-10-19T0:28; 00:00 ;7.0;Mostly Cloudy;WSW 21;NA;78
CHU;L'Htel-Dieu de Qubec;51217586;15;13;2;0;00:00:00;2021-10-19T0:28; 00:00 ;7.0;Mostly Cloudy;WSW 21;NA;78
CHU;Hpital de l'Enfant-Jsus;51233914;48;68;15;3;00:00:00;2021-10-19T0:28; 00:00 ;7.0;Mostly Cloudy;WSW 21;NA;78
CHU;Hpital du Saint-Sacrement;51217529;22;22;10;5;00:00:00;2021-10-19T0:28; 00:00 ;7.0;Mostly Cloudy;WSW 21;NA;78
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;21;0;0;00:00:00;2021-10-19T0:28; 00:00 ;7.0;Mostly Cloudy;WSW 21;NA;78
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;41;5;0;01:00:00;2021-10-19T1:28; 01:00 ;6.1;Mostly Cloudy;WSW 18;NA;83
CHU;Hpital Saint-Franois-d'Assise;51217602;34;36;7;0;01:00:00;2021-10-19T1:28; 01:00 ;6.1;Mostly Cloudy;WSW 18;NA;83
CHU;L'Htel-Dieu de Qubec;51217586;15;12;2;0;01:00:00;2021-10-19T1:28; 01:00 ;6.1;Mostly Cloudy;WSW 18;NA;83
CHU;Hpital de l'Enfant-Jsus;51233914;48;69;16;3;01:00:00;2021-10-19T1:28; 01:00 ;6.1;Mostly Cloudy;WSW 18;NA;83
CHU;Hpital du Saint-Sacrement;51217529;22;23;10;5;01:00:00;2021-10-19T1:28; 01:00 ;6.1;Mostly Cloudy;WSW 18;NA;83
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;19;0;0;01:00:00;2021-10-19T1:28; 01:00 ;6.1;Mostly Cloudy;WSW 18;NA;83
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;39;5;0;02:00:00;2021-10-19T2:28; 02:00 ;6.0;Mostly Cloudy;WSW 19;NA;83
CHU;Hpital Saint-Franois-d'Assise;51217602;34;35;7;0;02:00:00;2021-10-19T2:28; 02:00 ;6.0;Mostly Cloudy;WSW 19;NA;83
CHU;L'Htel-Dieu de Qubec;51217586;15;11;2;0;02:00:00;2021-10-19T2:28; 02:00 ;6.0;Mostly Cloudy;WSW 19;NA;83
CHU;Hpital de l'Enfant-Jsus;51233914;48;68;16;3;02:00:00;2021-10-19T2:28; 02:00 ;6.0;Mostly Cloudy;WSW 19;NA;83
CHU;Hpital du Saint-Sacrement;51217529;22;23;10;5;02:00:00;2021-10-19T2:28; 02:00 ;6.0;Mostly Cloudy;WSW 19;NA;83
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;19;0;0;02:00:00;2021-10-19T2:28; 02:00 ;6.0;Mostly Cloudy;WSW 19;NA;83
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;36;5;0;03:00:00;2021-10-19T3:28; 03:00 ;6.1;Mostly Cloudy;SW 15;NA;82
CHU;Hpital Saint-Franois-d'Assise;51217602;34;36;7;0;03:00:00;2021-10-19T3:28; 03:00 ;6.1;Mostly Cloudy;SW 15;NA;82
CHU;L'Htel-Dieu de Qubec;51217586;15;11;2;0;03:00:00;2021-10-19T3:28; 03:00 ;6.1;Mostly Cloudy;SW 15;NA;82
CHU;Hpital de l'Enfant-Jsus;51233914;48;67;16;3;03:00:00;2021-10-19T3:28; 03:00 ;6.1;Mostly Cloudy;SW 15;NA;82
CHU;Hpital du Saint-Sacrement;51217529;22;23;9;4;03:00:00;2021-10-19T3:28; 03:00 ;6.1;Mostly Cloudy;SW 15;NA;82
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;20;0;0;03:00:00;2021-10-19T3:28; 03:00 ;6.1;Mostly Cloudy;SW 15;NA;82
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;34;5;0;04:00:00;2021-10-19T4:28; 04:00 ;6.1;Mostly Cloudy;WSW 17;NA;82
CHU;Hpital Saint-Franois-d'Assise;51217602;34;36;7;0;04:00:00;2021-10-19T4:28; 04:00 ;6.1;Mostly Cloudy;WSW 17;NA;82
CHU;L'Htel-Dieu de Qubec;51217586;15;13;2;0;04:00:00;2021-10-19T4:28; 04:00 ;6.1;Mostly Cloudy;WSW 17;NA;82
CHU;Hpital de l'Enfant-Jsus;51233914;48;66;16;3;04:00:00;2021-10-19T4:28; 04:00 ;6.1;Mostly Cloudy;WSW 17;NA;82
CHU;Hpital du Saint-Sacrement;51217529;22;23;9;4;04:00:00;2021-10-19T4:28; 04:00 ;6.1;Mostly Cloudy;WSW 17;NA;82
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;20;0;0;04:00:00;2021-10-19T4:28; 04:00 ;6.1;Mostly Cloudy;WSW 17;NA;82
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;34;5;0;05:00:00;2021-10-19T5:28; 05:00 ;5.7;Mostly Cloudy;WSW 10;NA;79
CHU;Hpital Saint-Franois-d'Assise;51217602;34;36;7;0;05:00:00;2021-10-19T5:28; 05:00 ;5.7;Mostly Cloudy;WSW 10;NA;79
CHU;L'Htel-Dieu de Qubec;51217586;15;13;2;0;05:00:00;2021-10-19T5:28; 05:00 ;5.7;Mostly Cloudy;WSW 10;NA;79
CHU;Hpital de l'Enfant-Jsus;51233914;48;65;17;3;05:00:00;2021-10-19T5:28; 05:00 ;5.7;Mostly Cloudy;WSW 10;NA;79
CHU;Hpital du Saint-Sacrement;51217529;22;24;9;4;05:00:00;2021-10-19T5:28; 05:00 ;5.7;Mostly Cloudy;WSW 10;NA;79
