Nom_etablissement;Nom_installation;No_permis_installation;Nombre_de_civieres_fonctionnelles;Nombre_de_civieres_occupees;Nombre_de_patients_sur_civiere_plus_de_24_heures;Nombre_de_patients_sur_civiere_plus_de_48_heures;Heure_de_l'extraction_(image);Mise_a_jour;heure_meteo;temperature;climat;vent;humidex;humidite_relative
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;38;2;1;08:00:00;2021-10-23T8:28; 08:00 ;1.5;Partly Cloudy;                                            ;NA;W 6
CHU;Hpital Saint-Franois-d'Assise;51217602;34;38;11;2;08:00:00;2021-10-23T8:28; 08:00 ;1.5;Partly Cloudy;                                            ;NA;W 6
CHU;L'Htel-Dieu de Qubec;51217586;15;11;0;0;08:00:00;2021-10-23T8:28; 08:00 ;1.5;Partly Cloudy;                                            ;NA;W 6
CHU;Hpital de l'Enfant-Jsus;51233914;48;48;7;1;08:00:00;2021-10-23T8:28; 08:00 ;1.5;Partly Cloudy;                                            ;NA;W 6
CHU;Hpital du Saint-Sacrement;51217529;22;24;6;2;08:00:00;2021-10-23T8:28; 08:00 ;1.5;Partly Cloudy;                                            ;NA;W 6
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;12;0;0;08:00:00;2021-10-23T8:28; 08:00 ;1.5;Partly Cloudy;                                            ;NA;W 6
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;35;2;1;09:00:00;2021-10-23T9:28; 09:00 ;2.7;Mostly Cloudy;SW 8;NA;92
CHU;Hpital Saint-Franois-d'Assise;51217602;34;40;12;2;09:00:00;2021-10-23T9:28; 09:00 ;2.7;Mostly Cloudy;SW 8;NA;92
CHU;L'Htel-Dieu de Qubec;51217586;15;11;0;0;09:00:00;2021-10-23T9:28; 09:00 ;2.7;Mostly Cloudy;SW 8;NA;92
CHU;Hpital de l'Enfant-Jsus;51233914;48;47;7;1;09:00:00;2021-10-23T9:28; 09:00 ;2.7;Mostly Cloudy;SW 8;NA;92
CHU;Hpital du Saint-Sacrement;51217529;22;23;6;2;09:00:00;2021-10-23T9:28; 09:00 ;2.7;Mostly Cloudy;SW 8;NA;92
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;11;0;0;09:00:00;2021-10-23T9:28; 09:00 ;2.7;Mostly Cloudy;SW 8;NA;92
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;35;1;0;10:00:00;2021-10-23T10:28; 10:00 ;4.1;Mostly Cloudy;N 2;NA;87
CHU;Hpital Saint-Franois-d'Assise;51217602;34;38;14;2;10:00:00;2021-10-23T10:28; 10:00 ;4.1;Mostly Cloudy;N 2;NA;87
CHU;L'Htel-Dieu de Qubec;51217586;15;13;2;0;10:00:00;2021-10-23T10:28; 10:00 ;4.1;Mostly Cloudy;N 2;NA;87
CHU;Hpital de l'Enfant-Jsus;51233914;48;43;8;1;10:00:00;2021-10-23T10:28; 10:00 ;4.1;Mostly Cloudy;N 2;NA;87
CHU;Hpital du Saint-Sacrement;51217529;22;22;7;2;10:00:00;2021-10-23T10:28; 10:00 ;4.1;Mostly Cloudy;N 2;NA;87
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;13;0;0;10:00:00;2021-10-23T10:28; 10:00 ;4.1;Mostly Cloudy;N 2;NA;87
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;37;2;0;11:00:00;2021-10-23T11:28; 11:00 ;6.5;Mostly Cloudy;SW 15;NA;72
CHU;Hpital Saint-Franois-d'Assise;51217602;34;38;14;4;11:00:00;2021-10-23T11:28; 11:00 ;6.5;Mostly Cloudy;SW 15;NA;72
CHU;L'Htel-Dieu de Qubec;51217586;15;13;2;0;11:00:00;2021-10-23T11:28; 11:00 ;6.5;Mostly Cloudy;SW 15;NA;72
CHU;Hpital de l'Enfant-Jsus;51233914;48;47;8;1;11:00:00;2021-10-23T11:28; 11:00 ;6.5;Mostly Cloudy;SW 15;NA;72
CHU;Hpital du Saint-Sacrement;51217529;22;22;7;2;11:00:00;2021-10-23T11:28; 11:00 ;6.5;Mostly Cloudy;SW 15;NA;72
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;14;0;0;11:00:00;2021-10-23T11:28; 11:00 ;6.5;Mostly Cloudy;SW 15;NA;72
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;41;2;0;12:00:00;2021-10-23T12:28; 12:00 ;6.7;Mostly Cloudy;WSW 17;NA;64
CHU;Hpital Saint-Franois-d'Assise;51217602;34;40;14;4;12:00:00;2021-10-23T12:28; 12:00 ;6.7;Mostly Cloudy;WSW 17;NA;64
CHU;L'Htel-Dieu de Qubec;51217586;15;13;2;0;12:00:00;2021-10-23T12:28; 12:00 ;6.7;Mostly Cloudy;WSW 17;NA;64
CHU;Hpital de l'Enfant-Jsus;51233914;48;49;8;1;12:00:00;2021-10-23T12:28; 12:00 ;6.7;Mostly Cloudy;WSW 17;NA;64
CHU;Hpital du Saint-Sacrement;51217529;22;22;6;2;12:00:00;2021-10-23T12:28; 12:00 ;6.7;Mostly Cloudy;WSW 17;NA;64
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;12;0;0;12:00:00;2021-10-23T12:28; 12:00 ;6.7;Mostly Cloudy;WSW 17;NA;64
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;40;3;0;13:00:00;2021-10-23T13:28; 13:00 ;7.3;Mostly Cloudy;WSW 16;NA;64
CHU;Hpital Saint-Franois-d'Assise;51217602;34;42;15;4;13:00:00;2021-10-23T13:28; 13:00 ;7.3;Mostly Cloudy;WSW 16;NA;64
CHU;L'Htel-Dieu de Qubec;51217586;15;11;1;0;13:00:00;2021-10-23T13:28; 13:00 ;7.3;Mostly Cloudy;WSW 16;NA;64
CHU;Hpital de l'Enfant-Jsus;51233914;48;52;8;2;13:00:00;2021-10-23T13:28; 13:00 ;7.3;Mostly Cloudy;WSW 16;NA;64
