Nom_etablissement;Nom_installation;No_permis_installation;Nombre_de_civieres_fonctionnelles;Nombre_de_civieres_occupees;Nombre_de_patients_sur_civiere_plus_de_24_heures;Nombre_de_patients_sur_civiere_plus_de_48_heures;Heure_de_l'extraction_(image);Mise_a_jour;heure_meteo;temperature;climat;vent;humidex;humidite_relative
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;31;6;0;00:00:00;2022-01-05T0:28; 00:00 ;-11.4;Light Snow;calm;NA;88
CHU;Hpital Saint-Franois-d'Assise;51217602;34;29;6;0;00:00:00;2022-01-05T0:28; 00:00 ;-11.4;Light Snow;calm;NA;88
CHU;L'Htel-Dieu de Qubec;51217586;15;13;1;0;00:00:00;2022-01-05T0:28; 00:00 ;-11.4;Light Snow;calm;NA;88
CHU;Hpital de l'Enfant-Jsus;51233914;48;45;6;0;00:00:00;2022-01-05T0:28; 00:00 ;-11.4;Light Snow;calm;NA;88
CHU;Hpital du Saint-Sacrement;51217529;22;13;2;1;00:00:00;2022-01-05T0:28; 00:00 ;-11.4;Light Snow;calm;NA;88
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;15;0;0;00:00:00;2022-01-05T0:28; 00:00 ;-11.4;Light Snow;calm;NA;88
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;32;5;0;01:00:00;2022-01-05T1:28; 01:00 ;-10.9;Light Snow;N 2;NA;89
CHU;Hpital Saint-Franois-d'Assise;51217602;34;30;6;1;01:00:00;2022-01-05T1:28; 01:00 ;-10.9;Light Snow;N 2;NA;89
CHU;L'Htel-Dieu de Qubec;51217586;15;13;1;0;01:00:00;2022-01-05T1:28; 01:00 ;-10.9;Light Snow;N 2;NA;89
CHU;Hpital de l'Enfant-Jsus;51233914;48;45;6;0;01:00:00;2022-01-05T1:28; 01:00 ;-10.9;Light Snow;N 2;NA;89
CHU;Hpital du Saint-Sacrement;51217529;22;13;2;1;01:00:00;2022-01-05T1:28; 01:00 ;-10.9;Light Snow;N 2;NA;89
Institut universitaire de cardiologie et de pneumologie de Qubec;Institut universitaire de cardiologie et de pneumologie de Qubec;51232130;20;15;0;0;01:00:00;2022-01-05T1:28; 01:00 ;-10.9;Light Snow;N 2;NA;89
CHU;Le Centre hospitalier de l'Universit Laval;51217594;43;33;5;0;02:00:00;2022-01-05T2:28; 02:00 ;-10.2;Light Snow;NNW 4;NA;89
CHU;Hpital Saint-Franois-d'Assise;51217602;34;30;6;1;02:00:00;2022-01-05T2:28; 02:00 ;-10.2;Light Snow;NNW 4;NA;89
CHU;L'Htel-Dieu de Qubec;51217586;15;14;1;0;02:00:00;2022-01-05T2:28; 02:00 ;-10.2;Light Snow;NNW 4;NA;89
CHU;Hpital de l'Enfant-Jsus;51233914;48;47;7;0;02:00:00;2022-01-05T2:28; 02:00 ;-10.2;Light Snow;NNW 4;NA;89
CHU;Hpital du Saint-Sacrement;51217529;22;13;2;1;02:00:00;2022-01-05T2:28; 02:00 ;-10.2;Light Snow;NNW 4;NA;89
